id,name,sale_ok,purchase_ok,type,categ_id/id
boxwise_wms.product_template_shsumadsa,Sandals,TRUE,TRUE,product,boxwise_wms.product_category_shsumad

boxwise_wms.product_template_shsumchtr,Trainers,TRUE,TRUE,product,boxwise_wms.product_category_shsumch
boxwise_wms.product_template_shsumchsh,Closed shoes,TRUE,TRUE,product,boxwise_wms.product_category_shsumch
boxwise_wms.product_template_shsumchsa,Sandals,TRUE,TRUE,product,boxwise_wms.product_category_shsumch

boxwise_wms.product_template_shsumbab,Baby shoes,TRUE,TRUE,product,boxwise_wms.product_category_shsumbab

boxwise_wms.product_template_shwinadbo,Boots,TRUE,TRUE,product,boxwise_wms.product_category_shwinad
boxwise_wms.product_template_shwinadrai,Rain boots,TRUE,TRUE,product,boxwise_wms.product_category_shwinad

boxwise_wms.product_template_shwinchbo,Boots,TRUE,TRUE,product,boxwise_wms.product_category_shwinch
boxwise_wms.product_template_shwinchrai,Rain boots,TRUE,TRUE,product,boxwise_wms.product_category_shwinch

boxwise_wms.product_template_shwinbab,Baby shoes,TRUE,TRUE,product,boxwise_wms.product_category_shwinbab

boxwise_wms.product_template_bedadbl,Blanket,TRUE,TRUE,product,boxwise_wms.product_category_bedad
boxwise_wms.product_template_bedadkbl,Knitted blanket,TRUE,TRUE,product,boxwise_wms.product_category_bedad
boxwise_wms.product_template_bedadduv,Duvet,TRUE,TRUE,product,boxwise_wms.product_category_bedad
boxwise_wms.product_template_bedadshe,Sheet,TRUE,TRUE,product,boxwise_wms.product_category_bedad
boxwise_wms.product_template_bedadpc,Pillow case,TRUE,TRUE,product,boxwise_wms.product_category_bedad
boxwise_wms.product_template_bedadpi,Pillow,TRUE,TRUE,product,boxwise_wms.product_category_bedad

boxwise_wms.product_template_bedbabbl,Blanket,TRUE,TRUE,product,boxwise_wms.product_category_bedbab
boxwise_wms.product_template_bedbabkbl,Knitted blanket,TRUE,TRUE,product,boxwise_wms.product_category_bedbab
boxwise_wms.product_template_bedbabduv,Duvet,TRUE,TRUE,product,boxwise_wms.product_category_bedbab
boxwise_wms.product_template_bedbabshe,Sheet,TRUE,TRUE,product,boxwise_wms.product_category_bedbab
boxwise_wms.product_template_bedbabpc,Pillow case,TRUE,TRUE,product,boxwise_wms.product_category_bedbab
boxwise_wms.product_template_bedbabpi,Pillow,TRUE,TRUE,product,boxwise_wms.product_category_bedbab
boxwise_wms.product_template_bedbabsb,Sleeping bag,TRUE,TRUE,product,boxwise_wms.product_category_bedbab

boxwise_wms.product_template_otsb,Sleeping bag,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_otten,Tent,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_otbabca,Baby carriage,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_otbabcar,Baby carrier,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_otbabbe,Baby bed,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_otbabpa,Baby packs,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_ottoy,Toy,TRUE,TRUE,product,boxwise_wms.product_category_ot
boxwise_wms.product_template_ot,Misc,TRUE,TRUE,product,boxwise_wms.product_category_ot

